Game,Score,Annealing Time,Fitness Score
880,20,0.290796,0.000222
881,7,3.66897,0.000363
882,13,2.09245,6.4e-005
883,38,13.4334,5.8e-005
884,17,6.68288,4.4e-005
885,35,12.5357,1.7e-005
886,9,2.62059,6.7e-005
887,15,2.80938,0.000176
888,18,0.279045,0.000106
889,37,15.1894,0.000157
890,6,3.82754,6.8e-005
891,7,1.42697,0.000134
892,13,9.03459,4.6e-005
893,15,6.66648,0.000203
894,11,3.76265,0.000152
895,11,0.602981,8.2e-005
896,16,2.88209,3.5e-005
897,5,0.070095,0.000192
898,4,0.045173,0.00021
899,19,1.52491,0.000171
900,26,10.361,0.000157
901,7,3.81904,2.6e-005
902,5,0.069991,0.001919
903,10,0.109021,6.6e-005
904,23,10.2117,0.000143
905,22,2.4531,7.3e-005
906,34,14.1192,4.5e-005
907,7,5.89275,1.2e-005
908,14,5.63857,5e-005
909,14,6.60854,0.000617
910,24,4.39335,0.000107
911,9,1.31547,0.00056
912,22,5.12517,0.00018
913,10,0.133366,1.1e-005
914,10,3.96144,7.3e-005
915,11,0.487534,5.1e-005
916,7,0.091285,4.5e-005
917,19,8.84986,1.1e-005
918,20,5.9833,7.6e-005
919,22,13.6467,0.000121
920,8,5.18932,0.000143
921,18,0.297722,0.000192
922,28,6.68396,0.000265
923,8,5.19424,3e-005
924,27,13.6549,8.6e-005
925,11,6.99248,2e-006
926,5,0.062508,9.8e-005
927,6,0.053575,8.2e-005
928,8,1.4119,7e-006
929,14,2.46925,3.5e-005
930,17,2.11046,2.9e-005
931,24,4.14402,0.000614
932,19,0.282738,0.000131
933,20,0.946764,4.6e-005
934,8,0.195635,3.3e-005
935,7,0.091369,0.000126
936,23,8.69954,0.000241
937,18,6.45747,0.000181
938,8,1.95792,4.9e-005
939,19,5.77937,8.7e-005
940,10,5.78483,0.000216
941,12,0.17411,4.7e-005
